id,status,event_id,frequency,amplitude,phase,current_offset,v_start,v_end,temperature,added_at,cell_id_id
189,placerat ante nulla justo aliquam,penatibus et magnis,29947370.3,88.55,152.78,96.15,35.38,82.47,1315.3,2024-12-09T21:17:37Z,189
190,quis lectus suspendisse potenti in,id sapien in sapien,61656778.02,68.76,249.84,79.22,59.77,50.67,4413.01,2024-06-24T12:20:15Z,190
191,scelerisque quam turpis adipiscing,suspendisse potenti nullam porttitor,38575769.0,55.91,4.07,6.48,90.5,99.76,2996.8,2024-12-08T20:15:34Z,191
192,risus semper porta volutpat,vestibulum rutrum rutrum,66751219.35,52.19,344.23,15.79,82.16,56.9,1031.03,2024-07-01T11:03:48Z,192
193,at ipsum ac tellus semper,mauris ullamcorper purus sit amet,52136378.87,96.46,35.1,28.15,25.94,97.96,534.22,2024-08-10T19:49:47Z,193
194,nulla sed accumsan,enim blandit mi in,48277807.68,40.03,238.24,47.95,55.6,90.97,4565.24,2024-05-31T12:09:32Z,194
195,egestas metus aenean,placerat praesent blandit,52605919.88,82.64,104.7,82.45,92.53,66.43,3929.0,2024-11-14T19:24:00Z,195
196,mauris laoreet ut,maecenas leo odio condimentum id,48030151.44,15.48,294.85,18.45,32.28,46.27,2909.22,2024-04-25T12:01:32Z,196
197,congue vivamus metus,non mi integer,28206603.05,23.27,17.95,29.72,58.8,6.36,1583.41,2024-11-08T05:39:19Z,197
198,rutrum neque aenean,turpis eget elit,59296823.16,35.7,144.4,32.89,57.57,72.29,5103.55,2024-12-18T16:58:19Z,198
199,amet eleifend pede libero quis,nunc nisl duis,85444492.09,81.76,175.73,58.53,36.27,74.18,3878.43,2024-07-08T22:45:54Z,199
200,justo aliquam quis,fermentum donec ut mauris eget,63763759.46,1.81,256.44,48.51,57.07,52.75,1544.38,2024-11-03T10:59:29Z,200
201,pellentesque volutpat dui maecenas,curae mauris viverra,35573396.37,0.12,203.4,54.02,52.55,95.46,4532.77,2024-11-23T06:01:04Z,201
202,risus dapibus augue,nunc vestibulum ante,34929948.79,56.07,224.5,48.04,36.76,31.16,1607.2,2024-08-17T15:26:56Z,202
203,justo in hac habitasse platea,vulputate ut ultrices vel augue,37233249.91,61.73,308.4,61.24,60.3,13.14,4148.95,2024-04-14T21:09:57Z,203
204,cras non velit nec,habitasse platea dictumst etiam faucibus,83914737.72,88.69,172.43,61.36,0.28,40.35,2368.2,2024-10-06T02:10:01Z,204
205,et ultrices posuere cubilia,enim leo rhoncus sed,98690148.19,40.62,134.57,55.93,9.84,87.1,1456.7,2024-10-14T14:51:36Z,205
206,vel pede morbi porttitor,aliquam augue quam sollicitudin,20107411.82,54.83,303.01,36.67,38.03,94.27,1032.43,2024-06-14T03:41:10Z,206
207,libero convallis eget eleifend luctus,nascetur ridiculus mus etiam,59238334.33,6.0,23.69,74.57,17.96,95.29,1708.09,2024-04-07T23:03:26Z,207
208,lacus curabitur at,porttitor lorem id,65857722.72,54.71,103.0,28.03,80.76,34.31,4948.38,2024-06-26T07:49:06Z,208
209,elementum pellentesque quisque porta,posuere cubilia curae duis faucibus,63752827.96,98.5,13.28,61.07,53.31,92.15,3969.03,2024-11-19T12:50:27Z,209
210,lectus aliquam sit amet,erat nulla tempus vivamus,46289721.93,30.25,355.0,21.99,64.07,97.87,2584.34,2024-03-23T13:32:25Z,210
211,lacus at turpis donec,pede lobortis ligula,65610774.91,62.95,115.41,70.0,49.36,15.93,1973.02,2024-06-18T13:46:34Z,211
212,neque aenean auctor gravida,a feugiat et eros,40540536.17,83.97,287.43,93.39,34.67,20.01,3280.08,2024-06-03T04:18:35Z,212
213,odio curabitur convallis duis,in hac habitasse platea dictumst,61005268.39,12.98,317.88,82.76,62.64,99.48,2659.83,2025-02-02T03:46:53Z,213
214,viverra dapibus nulla suscipit,primis in faucibus,85422753.2,45.64,39.63,17.19,59.2,61.13,-183.86,2025-02-04T07:22:42Z,214
215,commodo placerat praesent blandit,justo nec condimentum neque,11733001.62,5.47,314.03,61.19,55.35,15.37,1232.73,2024-09-19T15:54:26Z,215
216,tortor sollicitudin mi,maecenas tincidunt lacus,71308427.92,18.43,272.05,89.73,33.99,69.2,-61.56,2024-08-16T13:10:48Z,216
217,risus dapibus augue,in felis donec,99152476.64,16.52,129.37,28.5,82.23,6.74,3647.84,2025-01-24T12:42:47Z,217
218,et tempus semper est quam,penatibus et magnis dis,37142618.97,24.01,100.29,36.29,75.31,17.45,4519.04,2024-09-24T21:24:21Z,218
219,nulla facilisi cras non velit,justo eu massa donec dapibus,80128411.05,72.44,130.09,58.11,2.31,41.01,1689.55,2024-05-11T06:14:11Z,219
220,lorem integer tincidunt ante vel,mi in porttitor pede justo,14196144.3,91.87,228.79,11.57,64.29,4.75,1170.26,2025-01-17T06:18:22Z,220
221,duis consequat dui,consectetuer eget rutrum at lorem,57094984.99,6.73,44.0,76.64,82.63,21.01,-142.74,2024-11-12T02:21:18Z,221
222,praesent blandit nam,pellentesque quisque porta volutpat,86076103.48,24.46,28.1,18.09,49.66,52.59,1778.97,2024-08-20T00:05:18Z,222
223,ut suscipit a,non mi integer,36171211.24,25.03,103.03,58.4,31.03,6.84,5175.01,2024-10-10T11:08:14Z,223
224,in faucibus orci,nibh fusce lacus purus,2495621.1,68.13,334.86,44.86,36.84,58.19,1103.06,2024-03-26T05:08:34Z,224
225,dapibus duis at,erat volutpat in congue,94315589.9,82.5,125.18,24.77,73.28,64.79,5542.63,2025-02-04T12:33:29Z,225
226,est congue elementum in,nulla sed accumsan,23159848.94,10.53,29.65,54.33,7.8,51.43,1700.07,2025-01-25T19:16:00Z,226
227,volutpat erat quisque,erat fermentum justo nec condimentum,75486910.65,74.41,106.67,48.78,60.91,59.74,4005.49,2024-05-13T10:32:29Z,227
228,iaculis justo in,leo odio condimentum id luctus,89614971.17,34.84,18.69,16.74,1.74,86.83,3620.35,2024-10-23T04:49:55Z,228
229,ligula nec sem duis,platea dictumst etiam faucibus,12132160.21,90.08,249.68,75.75,42.63,33.31,1927.09,2024-03-16T23:00:16Z,229
230,accumsan felis ut at,pede malesuada in,83649277.52,25.37,260.76,79.89,83.47,8.1,4217.32,2024-03-25T06:58:58Z,230
231,porttitor id consequat,duis bibendum felis,92371025.43,51.29,112.65,35.08,67.77,1.63,5519.56,2025-02-04T10:52:06Z,231
232,massa id nisl venenatis lacinia,fusce lacus purus aliquet,9551319.46,44.99,296.65,29.22,19.63,29.38,5213.87,2024-05-07T23:39:06Z,232
233,platea dictumst maecenas ut massa,nam dui proin leo odio,37078762.64,69.55,8.46,10.19,88.11,87.13,2499.57,2024-09-22T00:01:51Z,233
234,maecenas tristique est et,commodo vulputate justo,15162026.95,37.19,43.17,85.43,70.02,21.8,4216.13,2024-04-02T19:27:14Z,234
235,rhoncus dui vel,pellentesque ultrices phasellus id,53177984.95,42.85,182.38,70.03,35.87,13.76,39.98,2025-01-26T18:43:14Z,235
236,nulla pede ullamcorper augue a,posuere cubilia curae,2493378.69,31.58,304.74,76.59,24.21,58.36,5566.76,2024-02-13T17:54:54Z,236
237,placerat praesent blandit nam nulla,orci eget orci vehicula condimentum,70545842.72,38.63,103.91,91.82,60.74,26.95,319.05,2024-03-15T20:42:32Z,237
238,vulputate justo in blandit ultrices,diam id ornare,75665631.34,29.29,336.4,86.83,71.53,17.43,40.16,2024-05-24T15:01:57Z,238
239,ac neque duis bibendum morbi,at turpis donec,79551857.81,73.76,193.65,82.19,29.98,51.98,2935.78,2024-07-04T00:20:39Z,239
240,vitae ipsum aliquam non,vivamus metus arcu adipiscing,44829665.81,9.26,268.12,1.08,95.89,82.75,73.74,2024-09-06T07:06:59Z,240
241,consequat morbi a,id ligula suspendisse,16710534.83,72.82,345.61,42.46,83.75,44.88,704.44,2025-01-20T16:30:43Z,241
242,semper interdum mauris ullamcorper purus,vehicula consequat morbi,18956266.8,48.24,288.24,10.41,25.36,43.71,2901.72,2024-10-06T03:24:29Z,242
243,nullam sit amet turpis,justo morbi ut odio cras,13933981.62,11.73,124.72,32.98,65.67,15.58,3895.06,2024-03-28T22:07:41Z,243
244,curabitur gravida nisi,lorem ipsum dolor sit,50533123.29,52.61,38.38,48.49,46.58,4.2,774.75,2025-01-21T09:07:36Z,244
245,odio condimentum id,sed magna at nunc,7501842.55,60.81,161.58,60.9,85.4,10.55,3972.34,2024-03-12T21:52:06Z,245
246,nisi nam ultrices,purus phasellus in felis,17988991.75,58.04,324.47,9.14,35.52,41.89,4004.78,2024-03-26T04:19:48Z,246
247,in faucibus orci luctus et,tempor turpis nec euismod scelerisque,72293059.48,11.79,36.54,28.38,34.56,44.38,1994.57,2024-09-02T02:34:55Z,247
248,nunc nisl duis bibendum,ante ipsum primis in faucibus,65446915.75,50.15,232.74,21.29,71.58,40.64,3577.87,2024-07-30T15:11:43Z,248
249,aenean auctor gravida sem praesent,vel lectus in,91928120.48,41.07,175.9,33.75,30.63,7.81,5401.62,2024-09-03T20:27:53Z,249
250,turpis elementum ligula vehicula consequat,volutpat convallis morbi odio,37670697.2,6.54,326.89,8.97,33.84,49.99,1272.22,2024-02-17T10:49:54Z,250
251,lobortis sapien sapien non,vitae nisl aenean lectus pellentesque,29905689.41,63.14,1.25,72.1,44.73,72.56,121.84,2024-08-23T03:37:55Z,251
252,nulla integer pede justo lacinia,iaculis diam erat fermentum,72772057.88,33.58,356.1,68.92,66.57,71.52,2445.62,2024-03-09T00:25:32Z,252
253,potenti nullam porttitor,eu sapien cursus,77460716.84,41.75,270.74,73.46,42.8,82.88,204.14,2024-11-08T12:12:28Z,253
254,etiam faucibus cursus,lacinia erat vestibulum sed,55486154.24,22.22,157.28,69.43,96.12,79.13,-9.05,2024-11-12T18:09:18Z,254
255,in eleifend quam,arcu sed augue aliquam erat,41184973.88,16.66,336.38,35.5,13.61,83.22,5230.97,2024-11-27T12:46:32Z,255
256,massa donec dapibus,nisi vulputate nonummy maecenas,63642042.79,53.2,184.73,47.79,93.9,46.53,104.21,2024-05-19T02:11:02Z,256
257,nulla ac enim in,tortor risus dapibus augue,23744770.12,68.14,21.07,30.36,51.32,62.83,3278.74,2024-08-04T14:42:27Z,257
258,eleifend pede libero quis orci,lorem ipsum dolor sit amet,41971636.94,15.71,133.27,19.3,68.34,23.89,4207.62,2024-12-26T16:42:26Z,258
259,in consequat ut nulla sed,quam fringilla rhoncus mauris,18571628.33,22.28,299.18,67.91,99.69,48.06,5531.83,2024-04-12T23:10:20Z,259
260,potenti nullam porttitor,potenti in eleifend quam,64240779.65,12.27,77.64,19.47,3.05,88.31,3422.63,2024-11-12T03:18:50Z,260
261,condimentum curabitur in libero,neque vestibulum eget,61939918.09,48.81,253.69,4.18,46.21,72.34,1849.02,2024-08-14T10:11:57Z,261
262,tristique est et tempus semper,mi pede malesuada in,49692048.63,68.3,312.31,43.95,74.45,13.37,958.22,2024-07-17T18:11:56Z,262
263,sit amet sem fusce,pretium iaculis justo in hac,81163721.46,91.08,140.32,51.77,57.96,61.5,3949.43,2024-10-24T11:00:21Z,263
264,ante nulla justo aliquam quis,adipiscing elit proin interdum mauris,86086178.82,74.62,84.19,57.79,48.75,63.42,3284.67,2025-01-31T10:00:04Z,264
265,adipiscing molestie hendrerit at,aliquam quis turpis eget elit,98922945.88,69.6,355.14,57.64,70.83,24.1,2399.3,2024-04-03T20:24:20Z,265
266,faucibus orci luctus et,ut odio cras mi pede,86085176.17,41.93,34.94,39.32,74.58,98.07,627.48,2024-07-18T08:24:53Z,266
267,non ligula pellentesque,odio elementum eu,28282392.35,92.23,190.62,15.48,51.21,41.84,1220.92,2024-04-30T06:13:36Z,267
268,sed interdum venenatis turpis,non velit donec diam neque,17912603.85,10.02,355.85,41.83,48.85,18.12,3349.77,2024-07-25T16:48:31Z,268
269,morbi non quam,curabitur at ipsum ac tellus,99081284.77,14.72,270.4,72.26,26.85,30.62,3471.95,2024-06-13T15:37:27Z,269
270,at nulla suspendisse,convallis nulla neque libero convallis,51030412.31,3.54,244.69,72.56,44.09,49.38,670.76,2024-12-23T17:31:50Z,270
271,orci pede venenatis,nulla neque libero,25598816.91,52.12,263.82,9.3,79.21,81.16,5131.21,2024-07-17T23:59:27Z,271
272,sapien dignissim vestibulum vestibulum,convallis morbi odio odio,77035862.6,43.13,107.91,77.94,67.1,56.54,4706.32,2024-02-17T15:32:54Z,272
273,pellentesque ultrices phasellus,semper rutrum nulla nunc,63192411.04,44.01,241.84,1.06,76.56,83.71,4559.63,2024-06-08T14:27:53Z,273
274,lacus morbi quis tortor id,arcu libero rutrum ac lobortis,67562506.35,70.33,99.56,1.7,62.24,82.8,1208.91,2024-06-20T09:40:39Z,274
275,dapibus dolor vel,libero convallis eget,94867673.46,15.46,120.95,75.97,32.75,96.25,3375.65,2024-03-26T20:37:45Z,275
276,mauris sit amet,turpis elementum ligula,67849813.28,39.02,164.61,12.95,43.65,70.45,5381.31,2024-09-13T08:12:32Z,276
277,convallis morbi odio,pulvinar sed nisl,52231808.59,69.38,106.77,1.79,95.49,4.88,3573.12,2024-02-17T22:17:06Z,277
278,at diam nam tristique,cras mi pede malesuada in,59976190.99,32.77,76.51,26.15,68.31,35.21,3398.25,2024-10-16T10:32:21Z,278
279,consequat morbi a ipsum integer,magnis dis parturient,82477582.78,66.57,197.12,80.49,53.92,73.21,5.51,2024-12-14T07:34:44Z,279
280,ultrices posuere cubilia,tristique fusce congue diam id,19066819.49,94.57,77.16,2.03,74.65,67.96,-21.3,2024-07-28T10:59:58Z,280
281,lectus vestibulum quam sapien,nec condimentum neque sapien placerat,9110801.18,48.69,16.44,38.84,7.75,21.54,5450.97,2024-07-19T07:23:44Z,281
282,volutpat in congue,nunc vestibulum ante,24117095.18,93.92,34.66,38.05,53.74,37.91,2247.14,2024-02-21T12:14:11Z,282
283,parturient montes nascetur,consequat nulla nisl,9588373.53,7.21,134.29,80.9,22.55,25.31,1990.76,2024-06-27T08:06:22Z,283
284,suspendisse ornare consequat lectus,posuere nonummy integer non,99121934.1,18.6,100.59,51.15,94.73,22.31,4352.65,2024-07-18T14:12:15Z,284
285,magnis dis parturient montes nascetur,semper est quam,40415237.82,65.34,163.54,13.62,48.05,80.14,-224.27,2024-07-17T03:42:39Z,285
286,eget orci vehicula condimentum,nullam molestie nibh,38660185.89,98.66,167.13,34.03,89.9,21.95,1494.26,2024-12-12T04:03:00Z,286
287,aliquet ultrices erat,pede lobortis ligula,57047578.13,96.27,152.8,6.03,15.33,22.8,2693.17,2024-07-07T22:43:43Z,287
288,et ultrices posuere,pretium nisl ut volutpat sapien,82712586.1,13.22,325.08,6.21,22.0,8.64,2096.33,2024-05-18T22:58:56Z,288
289,ultrices libero non mattis pulvinar,metus arcu adipiscing molestie,10736691.45,48.45,97.79,39.28,23.43,13.44,104.13,2024-11-08T14:42:21Z,289
290,eget tincidunt eget tempus,neque vestibulum eget vulputate ut,38159905.65,28.28,269.68,44.27,54.28,47.69,196.35,2024-03-05T20:55:27Z,290
291,id turpis integer aliquet massa,eget congue eget semper rutrum,47509793.11,39.98,230.3,42.81,43.53,95.94,222.72,2024-04-12T07:39:49Z,291
292,aliquet ultrices erat,eros suspendisse accumsan,99450467.62,15.3,319.87,68.12,39.19,15.32,3748.92,2024-03-27T19:41:21Z,292
293,primis in faucibus,pulvinar lobortis est phasellus,97442116.21,16.62,211.35,5.2,36.36,97.34,1919.56,2024-06-09T02:34:34Z,293
294,pellentesque ultrices phasellus id sapien,suscipit a feugiat et eros,11782711.38,40.38,9.06,0.07,18.4,0.32,5018.36,2024-06-08T09:37:52Z,294
295,ante ipsum primis,libero ut massa volutpat convallis,90547412.61,21.65,252.71,68.41,31.14,0.71,938.38,2024-03-03T16:59:32Z,295
296,quis odio consequat varius integer,sagittis dui vel nisl duis,30709224.05,26.83,255.69,26.61,60.13,66.27,4876.63,2024-11-10T23:55:32Z,296
297,turpis a pede,nibh in lectus pellentesque at,75428888.33,9.65,163.79,43.26,92.98,99.58,258.03,2024-06-14T12:05:11Z,297
298,odio donec vitae nisi nam,rhoncus mauris enim,70171171.62,93.18,291.78,80.2,38.98,75.08,4671.07,2024-04-02T07:12:29Z,298
299,vivamus in felis eu sapien,eget tincidunt eget tempus vel,89555904.92,93.56,262.01,2.49,70.65,81.9,3321.86,2024-08-14T16:13:12Z,299
300,et ultrices posuere,ultricies eu nibh quisque,70153605.46,32.67,355.1,56.86,45.47,23.86,1474.32,2024-04-19T03:37:46Z,300
301,nec euismod scelerisque quam,at diam nam,1286694.16,80.87,181.66,57.72,48.71,78.32,3392.53,2024-11-02T13:58:15Z,301
302,sagittis nam congue risus,arcu libero rutrum ac lobortis,84237531.01,41.88,224.72,34.51,89.58,72.94,4589.29,2024-07-02T19:32:28Z,302
303,suscipit nulla elit,tortor duis mattis egestas metus,25721722.41,9.06,96.09,96.03,3.27,22.53,511.65,2024-11-03T01:46:17Z,303
304,at ipsum ac,luctus rutrum nulla,84661279.14,15.64,44.18,31.67,47.36,37.97,59.23,2024-11-04T14:57:07Z,304
305,quis augue luctus tincidunt,feugiat et eros,22512798.12,79.58,113.24,20.0,36.79,20.4,4652.19,2025-01-11T15:27:01Z,305
306,enim sit amet nunc,ut erat id mauris,93361867.15,63.54,122.22,42.3,61.26,55.26,5149.01,2024-09-24T15:56:58Z,306
307,quam pharetra magna,rhoncus sed vestibulum,50654313.15,81.4,168.22,43.71,19.5,2.65,3248.29,2024-09-19T15:22:56Z,307
308,platea dictumst morbi vestibulum,libero quis orci,46492542.8,29.41,57.79,44.18,27.03,37.01,2916.29,2024-07-02T08:14:02Z,308
309,luctus et ultrices posuere,volutpat erat quisque erat eros,3014861.14,72.74,299.49,73.88,24.76,93.57,3537.07,2024-04-14T05:44:23Z,309
310,pellentesque at nulla suspendisse,accumsan tellus nisi eu,62561928.51,86.27,140.16,34.58,59.73,82.94,5187.39,2024-12-11T21:59:22Z,310
311,a nibh in quis,lorem quisque ut,48829557.34,93.79,229.37,61.43,76.92,55.73,693.81,2024-02-13T02:05:30Z,311
312,cubilia curae duis,porta volutpat quam pede lobortis,41832324.92,41.59,310.31,88.53,72.81,61.34,3534.4,2024-12-31T21:15:52Z,312
313,a ipsum integer a nibh,maecenas rhoncus aliquam lacus morbi,31554971.62,61.69,122.98,52.79,46.72,20.2,2795.96,2024-02-26T07:14:12Z,313
314,sed nisl nunc rhoncus dui,quam suspendisse potenti nullam porttitor,80436581.4,15.25,3.13,83.4,17.04,22.87,245.05,2024-11-08T00:24:51Z,314
315,etiam justo etiam pretium iaculis,vestibulum ante ipsum primis in,78102059.64,60.13,342.04,85.9,91.99,77.31,1412.81,2024-09-16T18:47:06Z,315
316,velit vivamus vel,vivamus vestibulum sagittis,82922259.54,23.89,197.35,52.39,94.78,64.14,2727.06,2024-03-27T11:39:16Z,316
317,turpis donec posuere,faucibus orci luctus et ultrices,20157235.76,76.99,327.97,36.73,69.43,65.38,963.21,2024-11-24T02:43:24Z,317
318,pede ac diam cras,in tempus sit,27426736.51,31.37,338.34,95.04,67.9,43.51,1142.56,2024-08-31T11:05:47Z,318
319,sapien placerat ante nulla,vel accumsan tellus nisi eu,79436766.44,47.95,102.15,57.79,61.46,87.9,2502.36,2024-07-19T16:29:25Z,319
320,accumsan odio curabitur,diam erat fermentum justo nec,2945977.7,34.37,169.89,65.91,89.96,14.19,1706.14,2024-10-06T22:44:19Z,320
321,sed ante vivamus tortor,vulputate vitae nisl aenean,49563441.43,9.54,220.97,41.81,20.89,9.42,1490.66,2024-08-16T05:21:59Z,321
322,non pretium quis lectus suspendisse,cubilia curae mauris viverra,13681658.41,49.84,5.22,39.61,84.01,53.29,816.63,2024-06-08T08:20:44Z,322
323,quis turpis sed ante vivamus,ultrices posuere cubilia,36862524.71,34.84,256.1,12.57,49.83,11.72,4360.0,2024-04-29T13:18:49Z,323
324,adipiscing lorem vitae mattis nibh,ligula vehicula consequat,38785955.95,43.49,59.77,61.14,51.91,91.13,91.2,2024-12-14T11:42:13Z,324
325,primis in faucibus orci,turpis adipiscing lorem vitae mattis,28723973.25,93.84,169.51,69.46,24.13,67.68,2074.95,2024-09-02T16:07:07Z,325
326,phasellus id sapien in,ante nulla justo aliquam quis,68690022.94,96.1,316.88,82.7,50.81,67.43,2858.42,2025-01-13T00:33:39Z,326
327,quis orci nullam molestie,convallis duis consequat dui,43392419.99,54.57,1.34,77.51,0.02,4.33,2906.71,2024-11-29T12:47:57Z,327
328,luctus et ultrices posuere cubilia,aliquam quis turpis eget,41764176.18,20.47,95.36,80.22,13.06,31.12,4489.92,2024-10-10T12:30:37Z,328
329,penatibus et magnis,morbi non lectus aliquam,20594328.41,77.88,2.28,79.18,22.26,78.19,1825.7,2025-01-28T21:31:10Z,329
330,pellentesque viverra pede ac,orci luctus et,66135869.16,29.1,218.86,78.31,46.67,59.14,965.03,2025-01-21T21:30:56Z,330
331,consequat varius integer ac,ut mauris eget massa,40973508.15,5.69,339.9,77.57,8.39,87.19,4900.64,2024-07-09T21:54:07Z,331
332,cras pellentesque volutpat dui maecenas,suspendisse potenti cras in,20321204.74,19.06,25.94,69.66,97.22,79.37,256.98,2025-01-08T20:13:52Z,332
333,aenean lectus pellentesque eget,non mi integer,64353144.34,53.12,35.16,34.57,6.81,59.33,2156.2,2024-06-24T14:06:46Z,333
334,sem duis aliquam convallis nunc,nisl nunc rhoncus,64981867.22,24.29,183.26,65.19,19.43,94.58,907.95,2024-04-21T13:48:43Z,334
335,cursus urna ut tellus nulla,in libero ut massa volutpat,18190006.98,1.62,217.4,86.99,71.6,60.86,4577.99,2024-04-20T17:08:03Z,335
336,purus phasellus in felis,volutpat in congue etiam,49306755.7,75.63,8.81,21.24,3.62,67.08,1246.85,2025-01-27T00:03:01Z,336
337,id nisl venenatis,porta volutpat quam,36421077.7,39.18,64.15,58.48,84.07,55.79,4117.29,2024-06-08T09:55:42Z,337
338,sit amet consectetuer adipiscing elit,elit sodales scelerisque mauris,44515857.6,14.29,62.17,38.12,70.53,21.2,1937.75,2024-12-29T14:10:52Z,338
339,interdum mauris non ligula pellentesque,sagittis nam congue,61862457.96,29.65,171.38,56.26,2.87,3.52,1743.65,2024-08-09T21:44:25Z,339
340,pretium iaculis justo in,tincidunt ante vel ipsum,74070836.03,53.76,220.2,68.2,75.84,88.12,1690.19,2024-05-23T15:21:17Z,340
341,enim in tempor turpis,sem praesent id massa,82382129.19,22.78,143.29,67.66,94.35,78.82,216.17,2024-10-12T00:37:49Z,341
342,habitasse platea dictumst,nunc proin at turpis a,32714160.9,64.8,76.97,37.75,90.05,44.61,1937.06,2024-11-23T07:15:19Z,342
343,eget congue eget semper rutrum,luctus tincidunt nulla mollis,51722135.63,74.18,44.9,90.84,5.22,28.26,11.78,2024-09-02T17:36:35Z,343
344,eleifend donec ut dolor,magna at nunc,85639683.51,88.2,9.4,95.79,71.48,68.23,2478.6,2024-02-29T11:24:11Z,344
345,molestie lorem quisque ut,sed nisl nunc,57995508.88,86.87,82.5,86.9,15.98,25.0,998.4,2024-11-06T05:08:12Z,345
346,pellentesque quisque porta,eget rutrum at lorem integer,60377789.69,28.73,95.94,60.74,17.89,78.94,1199.59,2024-09-11T16:07:04Z,346
347,pellentesque ultrices mattis odio donec,posuere nonummy integer,44870083.29,91.67,69.2,14.11,46.13,36.47,4906.13,2024-04-04T17:45:02Z,347
348,sit amet erat nulla tempus,sem fusce consequat,88434508.55,53.86,35.32,88.61,72.87,53.38,2536.34,2024-02-14T12:13:31Z,348
349,nec sem duis,fermentum donec ut mauris eget,79002254.95,19.02,139.28,44.98,53.21,41.1,-76.87,2024-11-10T07:41:18Z,349
350,hendrerit at vulputate,lacus at velit vivamus,35212053.79,40.91,22.95,60.72,23.19,16.3,3848.54,2024-05-01T17:38:20Z,350
351,turpis enim blandit,in purus eu magna,17827101.18,92.25,87.96,31.29,56.71,58.49,4317.83,2024-03-10T13:51:07Z,351
352,curabitur at ipsum,sem praesent id massa,47639690.91,64.07,88.51,38.98,41.37,77.41,4939.59,2024-12-31T15:43:48Z,352
353,donec odio justo sollicitudin,morbi quis tortor id,39745854.0,27.77,170.15,39.89,85.1,16.02,130.59,2024-07-18T07:16:29Z,353
354,id mauris vulputate elementum nullam,vivamus tortor duis,312983.12,63.8,9.85,82.29,47.83,77.93,1251.29,2024-06-05T17:48:41Z,354
355,vestibulum ante ipsum,consequat in consequat,59863073.19,16.74,142.47,96.47,76.97,1.18,1719.49,2024-12-15T07:05:12Z,355
356,aenean lectus pellentesque,massa quis augue luctus,78736437.63,31.02,110.71,85.87,93.25,94.68,4088.32,2025-01-02T12:22:29Z,356
357,nisi eu orci mauris,magna bibendum imperdiet nullam,2200713.09,17.69,128.94,28.9,5.61,22.23,5382.47,2024-12-12T06:53:46Z,357
358,pede lobortis ligula sit amet,natoque penatibus et,51199852.02,53.25,342.64,28.81,26.28,76.57,2719.43,2024-03-23T04:23:42Z,358
359,lacus curabitur at ipsum,convallis eget eleifend luctus ultricies,31477394.66,84.48,324.39,53.79,40.94,1.4,2831.55,2024-03-27T21:30:37Z,359
360,morbi non lectus aliquam,aliquet maecenas leo,50545564.34,43.53,180.5,31.49,92.16,4.89,5032.28,2024-02-17T22:43:46Z,360
361,sollicitudin mi sit amet lobortis,nisi venenatis tristique fusce congue,32426922.26,99.01,347.19,26.92,3.33,1.19,5439.85,2024-10-09T16:12:18Z,361
362,libero ut massa,augue a suscipit nulla elit,29344332.08,90.68,90.0,23.03,52.98,10.7,1158.68,2025-01-05T14:53:45Z,362
363,donec semper sapien a,sit amet sem,36394126.51,45.58,352.73,13.48,10.78,97.37,1262.77,2024-11-19T20:10:49Z,363
364,nulla nisl nunc nisl,lacinia aenean sit,8657355.22,81.34,33.84,54.79,89.22,61.61,1631.03,2024-11-15T15:23:59Z,364
365,lorem ipsum dolor sit amet,vel enim sit amet,42847671.03,34.31,214.76,10.04,59.32,91.59,1246.7,2024-03-30T19:54:21Z,365
366,platea dictumst maecenas,orci luctus et ultrices posuere,55010412.0,54.02,199.42,32.07,0.45,80.61,569.38,2025-01-14T06:00:49Z,366
367,odio donec vitae,morbi ut odio cras,29626741.45,4.58,255.06,78.29,34.22,11.73,4132.38,2024-12-25T22:16:10Z,367
368,ipsum primis in faucibus,montes nascetur ridiculus,62650096.5,5.5,145.83,0.6,23.12,33.14,4680.46,2024-08-30T13:01:23Z,368
369,porttitor lorem id ligula suspendisse,non quam nec dui,16014167.09,91.62,240.2,52.91,78.13,57.2,3017.09,2024-05-06T16:39:17Z,369
370,in magna bibendum,nonummy maecenas tincidunt lacus,77046848.27,10.16,258.92,89.9,63.54,88.11,758.46,2025-02-03T20:30:20Z,370
371,id massa id,urna pretium nisl ut,20202889.21,15.76,149.53,24.63,52.07,52.39,2739.42,2024-08-09T00:54:08Z,371
372,ridiculus mus etiam vel augue,est phasellus sit amet,1779531.9,18.71,54.47,52.4,7.13,67.98,1093.3,2024-10-14T01:33:50Z,372
373,hac habitasse platea,in hac habitasse platea,59543967.61,13.83,306.15,59.72,98.24,45.39,4785.04,2024-11-16T02:47:15Z,373
374,ultrices aliquet maecenas leo,integer pede justo,23060394.59,81.34,250.51,26.71,15.74,91.02,5329.25,2024-02-26T18:37:46Z,374
375,fermentum justo nec,rhoncus mauris enim leo rhoncus,14825516.79,9.67,117.75,12.07,32.82,51.09,954.87,2025-01-13T09:12:56Z,375
376,pellentesque viverra pede ac,sed tincidunt eu felis,21438262.11,60.21,261.96,72.14,56.1,61.42,1712.49,2024-04-06T12:58:21Z,376
377,bibendum morbi non quam,condimentum id luctus nec molestie,2646332.07,74.28,292.55,65.64,17.37,20.78,5079.92,2024-11-06T21:15:10Z,377
378,duis at velit eu,lacus morbi sem mauris,83097279.7,4.07,118.18,14.84,49.64,36.58,2949.12,2024-12-16T07:01:34Z,378
