id,serial_number,battery_name,weight,capacity,original_power_capability,expected_endoflife,manufactured_date,height,width,length,manufactured_city,manufactured_street,manufactured_number,manufactured_zipcode,material_id,safety_features_id,manufacturer_id
171,+171,+171,930167.068,405610246,9984708428,7/21/2024,6/6/2024,7743.39,7881.93,5124.24,Tertek,9 Truax Court,8896,171171,171,2,171
172,+172,+172,995337.956,22222010,5290805559,9/26/2024,12/27/2024,7165.12,7648.5,57.6,Dunaújváros,9169 Grasskamp Trail,6522,172172,172,3,172
173,+173,+173,34658.188,8781669123,4958750652,10/25/2024,9/29/2024,1142.92,3392.75,1261.47,Osório,9 Morrow Road,27686,173173,173,1,173
174,+174,+174,228287.388,9453033634,4560376156,8/18/2024,12/2/2024,3769.11,1147.85,8258.84,Jiancheng,8370 Thackeray Drive,4973,174174,174,1,174
175,+175,+175,243013.217,5733172409,3721084914,9/2/2024,3/6/2024,7464.91,4873.35,9494.93,Vale Boeiro,7 Bayside Point,28238,175175,175,3,175
176,+176,+176,678376.144,2679787698,6776955579,12/6/2024,11/2/2024,1754.34,8255.7,5928.65,Nara-shi,9319 6th Point,17024,176176,176,2,176
177,+177,+177,618213.415,5784926475,1841691020,1/11/2025,8/13/2024,7109.88,5277.96,3731.18,Santo Domingo,7 Esch Trail,10824,177177,177,3,177
178,+178,+178,35372.327,215554858,696304886,7/19/2024,8/15/2024,3251.83,7317.72,478.62,Mushie,8281 Lerdahl Drive,3331,178178,178,1,178
179,+179,+179,372649.878,3076135921,5977773444,11/15/2024,1/29/2025,5786.67,8881.13,838.88,Tamaulipas,2 Fisk Point,917,179179,179,2,179
180,+180,+180,410780.8,7448266787,5933615591,12/26/2024,4/17/2024,9404.81,4656.88,3178.99,Whitchurch,49037 Tennyson Center,23352,180180,180,1,180
181,+181,+181,878147.637,1780295769,6438199975,1/29/2025,11/27/2024,9187.66,1989.72,9994.65,Spitak,08634 Bunting Circle,1166,181181,181,1,181
182,+182,+182,705351.041,5655357526,9804679128,12/11/2024,5/17/2024,1306.61,7837.39,8415.31,Cigemlong,17742 Lien Park,7036,182182,182,3,182
183,+183,+183,106022.997,3246248370,4518768436,10/25/2024,2/10/2025,1579.44,9931.88,6603.38,Fenais da Ajuda,54430 Johnson Park,29799,183183,183,1,183
184,+184,+184,707913.442,7230162887,835947999,12/15/2024,4/4/2024,7112.75,4211.61,6805.01,Paojan,704 Blackbird Road,30630,184184,184,1,184
185,+185,+185,566692.239,3162368353,1682767615,11/10/2024,7/4/2024,1510.0,6520.21,376.82,Wilfrido Loor Moreira,1214 Bultman Point,32386,185185,185,1,185
186,+186,+186,905454.682,4449085532,4299654521,5/26/2024,8/4/2024,7653.77,3.76,4680.69,Trondheim,770 Russell Point,22528,186186,186,1,186
187,+187,+187,253002.438,4525404056,6139841266,12/29/2024,9/17/2024,6921.34,1444.01,17.75,Pataias,9428 Tennyson Street,14966,187187,187,1,187
188,+188,+188,57910.023,6652933497,6005395947,7/12/2024,6/14/2024,1117.89,1564.47,698.06,Zhutang,6310 Warner Hill,437,188188,188,2,188
189,+189,+189,235382.934,2748613635,2747729955,10/20/2024,9/28/2024,9504.68,5977.48,6336.85,Korostyshiv,03 Russell Crossing,28431,189189,189,3,189
190,+190,+190,175324.653,1087110599,7353762560,3/7/2024,7/20/2024,3121.03,4668.96,3285.84,Pingshanhu,08712 Ilene Circle,14911,190190,190,2,190
191,+191,+191,222286.656,893203875,4036090749,4/8/2024,7/3/2024,7402.13,6278.59,181.9,Kalá Déndra,2 Prairieview Pass,13382,191191,191,1,191
192,+192,+192,822541.643,7388518637,8967795933,11/15/2024,11/4/2024,4350.0,9547.89,671.21,Dongshangguan,9660 Marcy Terrace,15127,192192,192,2,192
193,+193,+193,458010.699,5336890401,7627596974,12/13/2024,2/5/2025,1367.52,9851.25,936.04,Fengtai Chengguanzhen,59366 Caliangt Drive,4323,193193,193,1,193
194,+194,+194,143836.095,9199290993,3688456855,11/1/2024,12/5/2024,1571.32,6169.49,3761.77,Cluain Meala,2587 Dovetail Terrace,6562,194194,194,2,194
195,+195,+195,637133.897,8481333499,2871689343,3/13/2024,2/28/2024,2486.31,6067.9,1186.91,Isfahan,6 3rd Parkway,17241,195195,195,3,195
196,+196,+196,272701.085,9520839637,4882468040,6/29/2024,5/2/2024,2378.9,4558.92,686.46,Mannheim,8 Kennedy Trail,23311,196196,196,1,196
197,+197,+197,380217.798,8045249929,4256936024,6/14/2024,5/6/2024,2250.06,3461.32,8199.86,Jacksonville,28987 Lien Park,27523,197197,197,2,197
198,+198,+198,846369.462,8762364542,7092271820,2/5/2025,4/18/2024,4508.52,6381.15,2547.17,Budayuan,9837 Muir Court,9719,198198,198,1,198
199,+199,+199,948420.857,4194917116,7303778115,8/11/2024,10/30/2024,704.14,2422.62,176.43,Tamansari,6744 Corry Park,29773,199199,199,3,199
200,+200,+200,438683.633,8179059099,6667680024,5/1/2024,4/19/2024,2231.61,8408.98,5607.21,Skurup,5166 South Junction,19969,200200,200,1,200
201,+201,+201,124079.024,1508988155,4352992224,8/3/2024,7/6/2024,1970.74,4921.4,2120.27,Al Quşayr,06459 Doe Crossing Way,10089,201201,201,3,201
202,+202,+202,472362.86,7391738092,7933335029,10/26/2024,2/8/2025,4724.02,5582.64,1347.45,Borås,889 Lotheville Point,32563,202202,202,2,202
203,+203,+203,528049.714,6045530055,9439345024,5/3/2024,1/30/2025,6766.88,4511.17,2340.96,Dera Bugti,536 Lillian Drive,25719,203203,203,1,203
204,+204,+204,790678.036,5523343084,9324495933,6/14/2024,2/15/2024,9477.37,2017.35,7933.19,Ermida,3 Maple Wood Alley,20043,204204,204,1,204
205,+205,+205,242364.837,6765325750,7104359882,3/20/2024,12/29/2024,5368.91,2355.15,4239.43,Anguera,11 Summit Court,19148,205205,205,3,205
206,+206,+206,831844.376,8157841367,5976263700,8/11/2024,2/24/2024,4243.55,5181.24,8266.3,Tanshan,7008 Hoard Alley,17205,206206,206,2,206
207,+207,+207,800939.413,8004153169,2213495533,8/17/2024,8/21/2024,4418.06,5350.12,1146.68,Catu,6619 Daystar Park,23531,207207,207,1,207
208,+208,+208,498029.928,958486717,2304336705,7/1/2024,7/15/2024,8658.49,186.52,4783.62,Żabno,92815 Erie Park,32574,208208,208,3,208
209,+209,+209,76026.06,9271479957,5582651679,8/24/2024,10/7/2024,7998.6,4089.38,7587.25,Arapongas,12 Pierstorff Trail,9025,209209,209,1,209
210,+210,+210,74858.99,7747397697,6190221592,9/21/2024,1/7/2025,9208.44,4343.41,3962.84,Hujirt,9 Montana Street,19844,210210,210,2,210
211,+211,+211,184235.509,6286725005,6557382949,8/10/2024,1/16/2025,7134.08,4975.62,6700.77,Krueng Luak,856 Dovetail Plaza,23154,211211,211,3,211
212,+212,+212,260703.88,814504181,1326381769,9/18/2024,6/20/2024,1598.49,1877.05,5668.56,Lysekil,68722 Loeprich Crossing,19849,212212,212,1,212
213,+213,+213,103996.294,7798825226,7152079218,11/12/2024,5/31/2024,6683.98,2068.2,4687.61,Kanluran,856 Washington Crossing,404,213213,213,2,213
214,+214,+214,661869.892,580050397,581839543,1/31/2025,11/27/2024,2663.44,2696.78,1569.98,Vári,8 Vidon Junction,173,214214,214,1,214
215,+215,+215,662382.984,413058091,139825416,9/23/2024,2/26/2024,1121.75,5325.74,5724.98,Distracción,42 Farwell Road,16206,215215,215,1,215
216,+216,+216,544330.805,3850964526,4502972187,2/28/2024,7/29/2024,8687.4,783.28,3980.32,Karangasem,48 Kingsford Junction,11525,216216,216,2,216
217,+217,+217,839938.627,4657433113,4106580987,6/27/2024,4/16/2024,6594.13,7756.76,3774.11,Nishishinminato,58322 Mayer Hill,6260,217217,217,3,217
218,+218,+218,184592.251,4942093306,6976766336,9/8/2024,11/25/2024,600.07,9814.64,5941.54,Kudanding,83090 Sugar Road,27561,218218,218,1,218
219,+219,+219,996886.719,6290858791,9991055227,12/28/2024,4/8/2024,1755.29,3528.07,3159.48,Iba,7845 Badeau Circle,22638,219219,219,1,219
220,+220,+220,405449.295,4395077091,4759356382,10/23/2024,1/14/2025,5043.79,6188.17,3199.03,Buganda,41 Anzinger Point,6529,220220,220,3,220
221,+221,+221,118112.166,9005189241,1183753027,12/19/2024,9/26/2024,8715.83,8215.95,8812.66,Xinshui,9 Declaration Point,10465,221221,221,2,221
222,+222,+222,857111.987,4649667967,9318454914,10/28/2024,8/19/2024,1636.63,3427.28,9822.37,Bechyně,2 Sommers Lane,6306,222222,222,2,222
223,+223,+223,432737.188,282594622,5108904944,5/27/2024,3/23/2024,6001.81,8476.94,1205.51,Machala,137 Main Alley,32362,223223,223,3,223
224,+224,+224,103819.986,9518969411,5968809965,12/1/2024,1/15/2025,5016.21,4558.81,1032.24,Tucupita,80 Hintze Plaza,17444,224224,224,3,224
225,+225,+225,507267.058,6989160640,1512105470,1/16/2025,12/17/2024,5330.65,5093.4,7570.67,Taounza,876 Forster Court,15318,225225,225,2,225
226,+226,+226,736563.152,6517243317,9456999886,8/23/2024,10/2/2024,5893.49,1790.92,8186.67,Dologon,40161 Shasta Terrace,10833,226226,226,2,226
227,+227,+227,839570.234,4546223318,2290036640,1/21/2025,5/22/2024,6094.77,8111.86,1517.02,Montepuez,771 Stephen Trail,27302,227227,227,2,227
228,+228,+228,471449.671,7151019293,2830651570,11/2/2024,6/12/2024,8963.1,3146.16,7436.24,Doko,11104 Grasskamp Alley,1163,228228,228,2,228
229,+229,+229,676319.819,2738196284,6434649854,4/1/2024,12/3/2024,3366.27,2597.35,6122.29,Yuanhou,407 Prairieview Parkway,12365,229229,229,1,229
230,+230,+230,382756.768,1621880493,439547383,7/14/2024,11/3/2024,1989.07,9374.56,6022.94,Gondar,0787 Burning Wood Drive,28769,230230,230,1,230
231,+231,+231,754074.843,6348156600,3500580993,10/24/2024,6/8/2024,5610.3,8962.15,3294.36,Estoi,8179 Mesta Park,2271,231231,231,1,231
232,+232,+232,510320.974,5056731321,5257041466,6/23/2024,5/20/2024,4160.72,8594.78,2041.09,Kadudampit,61383 Forest Dale Pass,5675,232232,232,3,232
233,+233,+233,776458.865,2601015130,2709215981,11/8/2024,4/14/2024,1211.38,1824.89,4465.44,Sidayu,862 Rieder Trail,7364,233233,233,2,233
234,+234,+234,327203.987,4833829546,1597473291,5/1/2024,9/21/2024,2447.36,2355.39,6143.88,Uva,1 5th Center,5295,234234,234,3,234
235,+235,+235,217328.118,5512838827,5850197811,4/11/2024,6/2/2024,7333.55,4611.2,2847.03,Hetian,1 Bultman Center,14082,235235,235,3,235
236,+236,+236,571376.689,9024111739,426457707,9/4/2024,4/27/2024,2726.54,4000.64,9884.1,Nanding,0144 Coolidge Pass,28345,236236,236,1,236
237,+237,+237,423113.002,5454824938,8410284402,8/20/2024,12/22/2024,3967.39,6088.02,3200.54,Maracaçumé,89 Saint Paul Parkway,28315,237237,237,3,237
238,+238,+238,56869.156,9052802942,4842771211,8/10/2024,3/30/2024,6065.94,2463.99,6804.61,Pakapasan Girang,4121 Corben Park,3774,238238,238,2,238
239,+239,+239,411558.513,9505894356,5669162142,3/6/2024,10/9/2024,36.79,5662.31,3911.74,Główczyce,71 Bonner Center,14682,239239,239,1,239
240,+240,+240,217298.257,104225295,6491444046,10/10/2024,4/26/2024,8785.86,1613.15,8946.32,Quince Mil,4640 Almo Park,2945,240240,240,2,240
241,+241,+241,978573.91,5552294555,3574988559,7/9/2024,9/2/2024,948.46,4981.34,4822.42,Wangi,56 Fairview Road,21413,241241,241,2,241
242,+242,+242,527212.662,1140902034,1471669688,7/1/2024,1/7/2025,7679.32,7828.03,7037.23,Al Fujayrah,8 Heffernan Drive,16356,242242,242,1,242
243,+243,+243,544103.93,5479952384,6890569703,7/26/2024,11/3/2024,8168.25,9436.18,2556.24,Tonghu,0 Bayside Parkway,890,243243,243,3,243
244,+244,+244,202108.126,2533327024,1711005669,7/30/2024,9/2/2024,3497.49,8555.2,8407.68,Puerto Nariño,80187 Westridge Point,23339,244244,244,1,244
245,+245,+245,513926.922,4324013082,5715212990,11/12/2024,3/27/2024,9827.07,7627.5,624.69,Marseille,310 Onsgard Point,32275,245245,245,3,245
246,+246,+246,307298.785,7850446680,417201589,9/25/2024,11/7/2024,8972.85,8582.17,6586.59,Porto Calvo,021 Mendota Point,17281,246246,246,1,246
247,+247,+247,593739.441,5640871268,6997864740,3/24/2024,8/26/2024,8918.45,9655.87,1532.05,Wādī as Sīr,6 Havey Pass,15175,247247,247,2,247
248,+248,+248,41875.387,1302541769,4558365376,3/11/2024,12/7/2024,6450.83,9115.34,2147.3,Lupak,8 Huxley Crossing,6911,248248,248,3,248
249,+249,+249,809390.815,3100518492,3567347228,3/3/2024,10/3/2024,223.13,8672.9,7656.93,Outlook,703 Jay Way,15734,249249,249,3,249
250,+250,+250,71159.757,5034699957,1389250271,4/24/2024,9/30/2024,990.28,8812.79,6524.88,Shouchang,3804 Troy Pass,15553,250250,250,2,250
251,+251,+251,248828.224,282288880,8493480331,2/6/2025,4/15/2024,6632.69,7601.61,167.86,Penápolis,5 Michigan Parkway,30421,251251,251,1,251
252,+252,+252,869747.038,3347787080,3056479519,10/26/2024,11/13/2024,3864.8,3124.96,5811.03,Kisanga,91184 Merry Avenue,26735,252252,252,2,252
253,+253,+253,393560.012,9814995493,9242511923,1/29/2025,3/7/2024,999.44,6021.37,3518.38,Toyoshina,0 Village Center,13488,253253,253,2,253
254,+254,+254,557961.787,8223870639,4524867690,7/14/2024,5/5/2024,314.57,5701.63,1001.65,Lukou,257 Redwing Center,22526,254254,254,3,254
255,+255,+255,596558.004,8533248387,3143056457,7/6/2024,8/16/2024,4179.06,2137.05,72.23,Pangal Sur,9934 Sunbrook Plaza,207,255255,255,1,255
256,+256,+256,307938.336,5394902938,6248552099,5/2/2024,3/17/2024,2504.84,2996.09,5580.07,Chaka,63 Gina Avenue,63,256256,256,2,256
257,+257,+257,512905.365,3092241061,551006491,2/22/2024,3/20/2024,5435.39,1694.93,4007.84,Kimakamak,28 Everett Terrace,7782,257257,257,1,257
258,+258,+258,412196.949,8000016707,3507871353,4/13/2024,12/1/2024,5658.67,8958.67,9354.36,Embajador Martini,2 Becker Street,21220,258258,258,3,258
259,+259,+259,400025.703,4005737196,5537918687,5/2/2024,10/21/2024,8928.63,6804.54,2137.78,Mayanhe,4514 Dorton Junction,32421,259259,259,3,259
260,+260,+260,722595.599,7007467891,5564625095,6/1/2024,2/11/2024,292.62,1519.15,2540.55,Tubigan,8 Spohn Place,9756,260260,260,3,260
261,+261,+261,205114.635,7129102315,3631817486,2/6/2025,2/22/2024,2213.44,8334.93,598.14,Pivovarikha,9270 Fisk Alley,12988,261261,261,3,261
262,+262,+262,754562.338,9634121452,997595898,10/16/2024,7/3/2024,998.22,9215.83,175.88,Renfrew,5757 Kingsford Terrace,21647,262262,262,2,262
263,+263,+263,963243.619,3094609348,5932373001,7/21/2024,6/8/2024,6173.78,1739.39,4460.83,Juazeiro do Norte,23 Buhler Hill,2476,263263,263,2,263
264,+264,+264,983783.733,2544669594,1705716767,1/30/2025,12/21/2024,9072.91,7051.24,215.73,Manganitu,3 Continental Hill,30709,264264,264,1,264
265,+265,+265,283132.279,1899497832,5704792953,9/29/2024,9/15/2024,3249.67,6645.09,9334.46,Monte Francisco,009 Washington Hill,415,265265,265,1,265
266,+266,+266,683104.685,8407695258,2883662906,12/9/2024,10/26/2024,2182.17,5320.62,9774.67,Mörrum,0 Hudson Crossing,14112,266266,266,2,266
267,+267,+267,987210.363,9303038216,791539251,4/5/2024,8/14/2024,6162.19,9353.41,4110.53,Catalina,422 Dovetail Drive,31923,267267,267,1,267
268,+268,+268,143133.687,9559908533,5863273051,5/17/2024,7/20/2024,2733.82,8813.95,9013.87,Datong,3 Vermont Terrace,5663,268268,268,3,268
269,+269,+269,91464.488,3451787830,3791082502,10/17/2024,10/10/2024,1829.25,4138.97,2236.28,Skutskär,7 Trailsway Lane,6428,269269,269,3,269
270,+270,+270,166052.771,1084026371,5528569400,6/19/2024,5/4/2024,3767.75,6388.6,9188.77,Infantas,7 Rowland Circle,12057,270270,270,2,270
271,+271,+271,276457.735,2550386361,6921174467,5/18/2024,7/22/2024,5253.7,9507.97,2540.84,Bordeaux,1 Sutteridge Plaza,9076,271271,271,3,271
272,+272,+272,451070.814,3947586003,1594589779,8/31/2024,6/20/2024,9777.13,7810.73,4827.07,Mercedes,01829 Harper Park,27430,272272,272,3,272
273,+273,+273,482150.424,6556387194,1121166774,2/25/2024,7/22/2024,8546.71,6641.76,7437.52,Xialu,849 Moland Lane,1449,273273,273,3,273
274,+274,+274,409891.35,5555034124,9821682886,2/11/2024,7/14/2024,5467.59,4789.22,712.02,Cane,66615 Hayes Hill,5288,274274,274,3,274
275,+275,+275,388972.954,9428520328,2699430017,2/21/2024,5/19/2024,6713.42,1128.65,4601.7,Cileles,9 Melby Trail,29880,275275,275,3,275
276,+276,+276,69418.581,4143334693,657225586,1/18/2025,11/30/2024,7443.25,8528.28,4197.6,Kuaro,52412 Basil Way,10264,276276,276,2,276
277,+277,+277,261049.429,1679259028,6682445094,11/30/2024,4/25/2024,422.57,3861.88,8496.79,Bauan,26816 Hoffman Street,8601,277277,277,3,277
278,+278,+278,8318.487,3481760732,3639841744,3/6/2024,10/11/2024,9417.38,5490.89,3684.5,Parikkala,73124 Gulseth Point,30474,278278,278,1,278
279,+279,+279,468292.206,2197802613,9811299504,10/31/2024,2/5/2025,5736.46,2883.49,2735.51,Wenchun,07 Troy Crossing,6811,279279,279,2,279
280,+280,+280,34200.317,2662597569,1118476050,9/3/2024,1/11/2025,2490.67,9694.56,9436.01,Karangan,0 Artisan Hill,24077,280280,280,2,280
281,+281,+281,349666.026,9411842703,8854588694,1/1/2025,3/30/2024,5559.21,4285.9,5650.23,München,25 Forest Run Crossing,10702,281281,281,1,281
282,+282,+282,739752.375,5046425723,3641813419,11/15/2024,12/8/2024,4779.64,1253.08,1365.96,Wielichowo,2 Sherman Crossing,19642,282282,282,1,282
283,+283,+283,923338.691,7383835217,636717984,3/13/2024,10/3/2024,5402.04,3507.4,1914.51,Linton,85407 Ridgeway Parkway,19188,283283,283,2,283
284,+284,+284,390228.839,7993215136,8235672043,11/4/2024,7/10/2024,6050.71,9856.0,4346.97,Cagnes-sur-Mer,220 Novick Center,16921,284284,284,3,284
285,+285,+285,102915.115,5034204064,2970283237,11/30/2024,4/30/2024,2277.51,1943.24,7683.53,San Rafael,0356 Golf Course Pass,21610,285285,285,3,285
286,+286,+286,831133.082,1431825950,7464054685,1/2/2025,1/13/2025,995.1,8667.3,7554.17,Wielbark,91802 South Center,20467,286286,286,3,286
287,+287,+287,917101.265,6679300754,447119655,12/30/2024,10/7/2024,5507.13,2298.94,8040.21,Manghit,429 Duke Drive,22540,287287,287,2,287
288,+288,+288,235103.451,9951049330,1802530501,4/30/2024,7/7/2024,431.61,9251.41,1101.72,Pyinmana,34 Homewood Trail,32409,288288,288,3,288
289,+289,+289,323359.428,7910187127,9996050028,9/21/2024,3/28/2024,3403.88,8357.0,3029.13,Dalinhe,178 Loomis Point,14074,289289,289,3,289
290,+290,+290,980638.717,233236310,412130297,1/30/2025,6/27/2024,2138.09,4910.21,1627.28,Limboto,2232 Bayside Hill,12492,290290,290,3,290
291,+291,+291,783550.751,9458032397,8264428711,11/29/2024,1/18/2025,708.44,4906.65,9043.41,Cengjia,9 Huxley Street,16136,291291,291,3,291
292,+292,+292,273617.995,6419799718,4082399738,8/24/2024,2/18/2024,877.97,7423.21,3580.87,Ŭiju,35 Clarendon Center,12336,292292,292,1,292
293,+293,+293,425265.376,9248989581,7834383983,1/26/2025,3/16/2024,4835.78,2329.17,9508.3,Houjia,10 Buell Pass,26619,293293,293,3,293
294,+294,+294,705908.442,6074859305,1700750064,3/4/2024,6/10/2024,516.26,2656.18,6796.3,Jiucheng,96527 Sutteridge Avenue,17738,294294,294,3,294
295,+295,+295,264109.042,3716761464,8139612313,10/21/2024,1/26/2025,6373.56,5111.77,376.19,Careva Ćuprija,8012 Holmberg Trail,9037,295295,295,2,295
296,+296,+296,428926.47,647468698,8808782168,6/26/2024,11/25/2024,6148.54,9437.15,5134.81,Sabi,55239 Spaight Street,9592,296296,296,3,296
297,+297,+297,710590.878,3685478920,2372886776,2/7/2025,10/25/2024,8641.13,2269.76,1488.67,Karpushikha,3 Vidon Way,30801,297297,297,3,297
298,+298,+298,445246.455,2913572270,6243105757,11/14/2024,12/26/2024,7368.55,9683.5,8143.73,Lanling,9839 Orin Court,24334,298298,298,1,298
299,+299,+299,280498.475,5236268471,5611591330,4/22/2024,7/2/2024,1458.61,319.36,1016.19,Tabūk,20531 Dixon Crossing,29308,299299,299,3,299
300,+300,+300,59421.95,9626212344,7943025019,1/20/2025,3/5/2024,7062.11,6234.45,2352.88,Sonsorol Village,1 Veith Drive,11726,300300,300,1,300
301,+301,+301,914912.662,5873572689,2817595525,4/5/2024,1/20/2025,5670.56,6422.71,6744.2,Mlimba,99097 Portage Circle,8276,301301,301,1,301
302,+302,+302,745825.642,28510679,2133872824,5/17/2024,12/19/2024,3897.15,1486.18,6681.4,Nancheng,82648 Autumn Leaf Trail,27653,302302,302,2,302
303,+303,+303,199522.307,2706715194,9288588429,1/16/2025,5/13/2024,2228.28,553.3,8896.38,Podgornaya,6 Bultman Hill,27014,303303,303,3,303
304,+304,+304,342785.092,8824562884,3491887287,12/3/2024,9/20/2024,6964.58,2066.74,3850.8,Banovo Polje,651 Scofield Hill,31134,304304,304,2,304
305,+305,+305,161758.421,6544531339,8794344089,6/18/2024,6/18/2024,4754.21,4706.59,1826.76,Chenglin,3 Mockingbird Road,4776,305305,305,2,305
306,+306,+306,555403.907,3450384364,7581635809,7/16/2024,6/28/2024,4049.56,8207.6,6223.07,Xujiafang,34 Pankratz Center,27238,306306,306,2,306
307,+307,+307,79976.599,1817990258,8567097392,5/28/2024,8/1/2024,3159.04,4471.2,7736.4,Chuandao,17871 Blue Bill Park Parkway,18374,307307,307,3,307
308,+308,+308,666656.557,7127380647,3595004841,9/5/2024,8/3/2024,1338.78,6295.36,9142.83,Shanhou,2 Crowley Drive,13461,308308,308,1,308
309,+309,+309,72760.618,415297451,7037909966,2/28/2024,1/20/2025,4858.5,8174.37,8485.07,Västra Frölunda,02686 Northfield Street,17232,309309,309,3,309
310,+310,+310,79141.316,3598466433,1842624940,5/6/2024,5/9/2024,9336.55,9278.53,8609.49,Buganda,9230 Menomonie Hill,8804,310310,310,1,310
311,+311,+311,621497.099,3768799738,5040896960,5/12/2024,2/23/2024,8959.04,7693.15,1930.84,Kalandagan,4 Monica Parkway,31896,311311,311,1,311
312,+312,+312,803622.511,6137456644,9026267294,5/26/2024,10/23/2024,6080.62,3375.72,6876.69,Basa,59869 Marquette Circle,7418,312312,312,3,312
313,+313,+313,948074.297,9371814240,7045519479,11/9/2024,5/4/2024,3193.89,5764.8,3235.51,Zamość,57 Eggendart Avenue,1581,313313,313,1,313
314,+314,+314,109670.434,8660734391,6022153332,10/26/2024,8/5/2024,6008.6,2740.71,8580.02,Panique,1380 Brentwood Junction,16647,314314,314,3,314
315,+315,+315,255610.512,1175684407,6983515690,7/23/2024,12/26/2024,9318.95,9695.0,9961.3,Karangbungur,9385 Graceland Hill,26109,315315,315,2,315
316,+316,+316,983142.201,5763555226,681833043,10/12/2024,10/10/2024,9003.11,8153.15,1145.15,Yawata,1 Granby Hill,14036,316316,316,3,316
317,+317,+317,834603.199,1804351481,4861819017,3/8/2024,2/20/2024,9863.66,9914.42,1378.3,Pilchowice,0837 Aberg Hill,18373,317317,317,3,317
318,+318,+318,177885.505,1488776711,3633061533,8/17/2024,3/25/2024,8174.51,3621.45,5472.79,Tianzishan,5279 Russell Pass,24721,318318,318,2,318
319,+319,+319,715032.097,8928823433,373151333,12/3/2024,5/15/2024,9238.88,4781.44,9388.67,Andahuaylas,8581 Shelley Circle,2467,319319,319,2,319
320,+320,+320,558292.3,4266407097,8065104374,4/17/2024,2/3/2025,5850.73,8430.99,1794.0,Dahe,16 Kinsman Plaza,8934,320320,320,1,320
321,+321,+321,910593.169,2596758576,1116363643,10/27/2024,7/6/2024,6098.11,3116.99,7325.37,Stockholm,6552 Cambridge Parkway,10599,321321,321,3,321
322,+322,+322,514125.734,9535264214,8053759305,5/8/2024,7/10/2024,7350.38,5258.51,9066.0,Kota Bharu,5814 Columbus Park,24370,322322,322,1,322
323,+323,+323,322851.6,2952364198,9952054157,9/17/2024,6/9/2024,3215.44,2391.2,1742.28,Ivry-sur-Seine,1 Erie Drive,25271,323323,323,3,323
324,+324,+324,877320.773,9521315094,1767268606,6/22/2024,5/18/2024,9896.92,6572.79,1815.09,Santo Domingo Este,91 Longview Junction,14181,324324,324,3,324
325,+325,+325,320736.234,4933945807,402047659,9/14/2024,12/8/2024,5225.72,1541.18,6847.12,Vranje,20406 Barnett Terrace,18196,325325,325,3,325
326,+326,+326,985996.215,4361555107,49422427,3/25/2024,9/28/2024,7894.32,1785.09,90.1,Velyka Bilozerka,91 Warner Lane,10708,326326,326,3,326
327,+327,+327,381907.576,3925907440,5908734366,3/9/2024,5/26/2024,440.18,5684.54,2065.23,Gandapura,61 Goodland Lane,29062,327327,327,2,327
328,+328,+328,37462.121,3574004688,2415256203,7/24/2024,9/18/2024,8490.27,3325.37,3878.86,Chefchaouene,806 Welch Way,22538,328328,328,1,328
329,+329,+329,302527.82,9856658230,2378201180,1/20/2025,1/18/2025,4143.7,6000.71,5535.48,Noisy-le-Grand,1267 Clyde Gallagher Park,29301,329329,329,3,329
330,+330,+330,356663.442,7828455088,8609052090,3/18/2024,6/21/2024,3588.16,3237.25,6162.39,Olds,155 Magdeline Plaza,28806,330330,330,3,330
331,+331,+331,564264.369,861612641,9315401324,3/2/2024,4/20/2024,6055.18,7401.9,8613.34,San Luis,12217 Kim Center,29382,331331,331,3,331
332,+332,+332,741185.435,6920713104,1028136043,8/26/2024,12/11/2024,2001.15,5085.76,7604.39,Hudong,07 Corry Circle,2339,332332,332,3,332
333,+333,+333,221163.483,931645964,4223372997,12/3/2024,1/9/2025,9488.48,1699.73,577.68,Bakau,8 Cascade Point,9818,333333,333,1,333
334,+334,+334,928933.051,6549396489,9447505391,5/22/2024,3/10/2024,1501.99,9708.15,4475.89,Heydərabad,049 David Alley,1694,334334,334,2,334
335,+335,+335,658542.945,14482459,1340687289,12/14/2024,4/20/2024,5614.77,3789.45,63.42,Ankaran,85288 Waubesa Pass,3027,335335,335,3,335
336,+336,+336,550545.172,1151417584,5314996412,1/28/2025,4/9/2024,6821.73,6663.87,8093.91,Karak City,767 Meadow Ridge Center,28201,336336,336,1,336
337,+337,+337,516759.1,1905066027,8496848671,8/22/2024,11/13/2024,2805.72,3896.35,7225.29,Baran,49 Annamark Pass,16270,337337,337,2,337
338,+338,+338,732492.552,1051270539,7037080062,5/17/2024,4/6/2024,1661.06,8813.46,4861.39,Bagangan,20 Rowland Alley,2301,338338,338,3,338
339,+339,+339,323096.484,668549275,30110574,1/14/2025,3/27/2024,2255.97,5792.48,8026.93,Bokor,5 Shelley Plaza,23193,339339,339,3,339
340,+340,+340,639656.721,4522012195,2246833236,3/14/2024,5/1/2024,3091.64,6263.46,1643.25,Descalvado,69 Ramsey Way,5799,340340,340,1,340
341,+341,+341,84537.022,1128080990,3010228030,6/15/2024,4/30/2024,3445.07,8357.47,9740.1,Lubukgadang,360 Ohio Crossing,24919,341341,341,3,341
342,+342,+342,787123.665,4563288160,5828327463,4/27/2024,3/27/2024,4064.31,2316.75,9454.16,Phra Khanong,10849 Monica Terrace,4019,342342,342,2,342
343,+343,+343,908843.369,9617746086,1252686238,12/19/2024,6/9/2024,4738.73,1846.32,5355.27,Patsi,51 Rockefeller Circle,14679,343343,343,2,343
